chunk_idx,stt_ms,plan_ms,speak_ms,total_ms
1,6446.88,2144.55,7135.64,15727.12
2,5676.99,10552.84,5091.61,21321.50
3,5058.77,11161.84,4403.38,20624.04
4,5452.00,0.08,6.03,5458.15
5,5703.83,2573.76,10491.33,18768.97
6,5812.93,0.07,3.94,5816.98
7,5827.80,9208.13,12184.62,27220.61
8,10073.84,3058.63,3233.58,16366.14
9,5676.16,13029.73,2749.53,21455.47
10,5822.99,2409.35,5940.20,14172.58
11,5592.59,0.11,6.27,5599.03
13,5722.35,2870.98,4915.86,13509.25
14,5867.18,5836.36,4403.99,16107.58
15,13172.45,6720.49,3584.41,23477.41
1,5898.32,11254.50,2867.01,20019.89
2,6313.66,3216.44,8322.01,17852.17
3,6716.00,0.14,8.11,6724.34
5,6324.61,2278.20,4147.56,12750.42
6,5627.49,2318.85,5018.22,12964.60
7,5051.93,4403.42,17448.15,26903.54
8,5698.70,3701.19,3891.52,13291.46
10,5037.97,2956.26,5326.60,13320.89
12,5668.01,0.10,5.51,5673.66
14,6639.67,1910.99,9115.26,17665.97
1,5752.79,2522.95,7.39,8283.17
1,10113.10,2728.93,16375.60,29217.69
